From,To,Fare
Abdullahpur,Abul Hotel,31
Abdullahpur,Agargaon,50
Abdullahpur,Airport,25
Abdullahpur,Asad Avenue,55
Abdullahpur,Asadgate,50
Abdullahpur,Asholia,22
Abdullahpur,Asholia (Fantasy Kingdom),16
Abdullahpur,Azimpur,53
Abdullahpur,Babu Bazar Bridge,58
Abdullahpur,Badda,29
Abdullahpur,Baipail,22
Abdullahpur,Banani,29
Abdullahpur,Bangabandhu Avenue,32
Abdullahpur,Basabo,36
Abdullahpur,Bijoy Nagar,15
Abdullahpur,Bishwaroad,20
Abdullahpur,Board Bazar,19
Abdullahpur,Bochila,66
Abdullahpur,Bosila,66
Abdullahpur,Bosila Bridge,58
Abdullahpur,Dhaor,12
Abdullahpur,Dhaor Bridge,10
Abdullahpur,Dheleshur,65
Abdullahpur,Dhour,22
Abdullahpur,Diayabari Moor,36
Abdullahpur,Fantasy Kingdom,31
Abdullahpur,Farmgate,43
Abdullahpur,Fulbaria,58
Abdullahpur,Gabtoli,47
Abdullahpur,Gabtoli Bridge Para,40
Abdullahpur,Gazipur,14
Abdullahpur,Ghatachar,62
Abdullahpur,Gulistan (Hanif Flyover),20
Abdullahpur,House Building,10
Abdullahpur,Housing Building,10
Abdullahpur,ISBI Chattar,25
Abdullahpur,Japan Garden City,59
Abdullahpur,Jasimuddin,10
Abdullahpur,Jatrabari,49
Abdullahpur,Jirab,10
Abdullahpur,Kachpur,46
Abdullahpur,Kachpur Bridge,81
Abdullahpur,Kakoli,26
Abdullahpur,Kakrail,42
Abdullahpur,Kalabagan,49
Abdullahpur,Kallshi,30
Abdullahpur,Kallshi Mor,26
Abdullahpur,Kalyanpur,44
Abdullahpur,Kamar Para,10
Abdullahpur,Kamarpara,12
Abdullahpur,Keraniganj (New Jail),95
Abdullahpur,Khilkhet,16
Abdullahpur,Kuril,16
Abdullahpur,Kuril Bishwaroad,11
Abdullahpur,Kurmitola General Hospital,20
Abdullahpur,Madanpur,79
Abdullahpur,Majar Road,36
Abdullahpur,Malibagh,47
Abdullahpur,Manik Mia Avenue,43
Abdullahpur,Maniknagar,40
Abdullahpur,Meradiya Bazar,33
Abdullahpur,Middle Badda,24
Abdullahpur,Mirpur-1,41
Abdullahpur,Mirpur-10,41
Abdullahpur,Mirpur-11,39
Abdullahpur,Mirpur-12,22
Abdullahpur,Mirpur-2,35
Abdullahpur,Moghbazar,41
Abdullahpur,Mohakhali,32
Abdullahpur,Mohammadpur Shia Mosque,51
Abdullahpur,Mohammadpur Stand,54
Abdullahpur,Motijheel,61
Abdullahpur,Mouchak,40
Abdullahpur,Nabinagar,88
Abdullahpur,Nabinagar (Savar),40
Abdullahpur,Nandan Park,48
Abdullahpur,New Market,49
Abdullahpur,Nilkhet,53
Abdullahpur,Notre Dame College,61
Abdullahpur,Notun Bazar,20
Abdullahpur,Original Dash,25
Abdullahpur,Original-10,37
Abdullahpur,Palton,50
Abdullahpur,Pragati Soroni,41
Abdullahpur,Press Club,44
Abdullahpur,Proshika Moor,38
Abdullahpur,Purabi,36
Abdullahpur,Rajmoni,44
Abdullahpur,Rampura,25
Abdullahpur,Rampura Bridge,38
Abdullahpur,Russell Square,46
Abdullahpur,Sadarghat Victoria,42
Abdullahpur,Sainboard,58
Abdullahpur,Satorasta,10
Abdullahpur,Savar,78
Abdullahpur,Sayedabad,45
Abdullahpur,Shahbag,43
Abdullahpur,Shaoda Bazar,19
Abdullahpur,Shewra,19
Abdullahpur,Shewra Bazar,26
Abdullahpur,Shewra Para,46
Abdullahpur,Shigomela,41
Abdullahpur,Shyamoli,48
Abdullahpur,Shyamoli Ring Road,55
Abdullahpur,Staff Quarter,39
Abdullahpur,Staffroad,20
Abdullahpur,Sultana Kamal Bridge,40
Abdullahpur,TV Centre,29
Abdullahpur,Tarabo Bishwa Road,49
Abdullahpur,Technical,42
Abdullahpur,Tongi (Bostuhara),12
Abdullahpur,Udvash Crossing,40
Abdullahpur,Uttara,10
Abdullahpur,Uttara Diayabari,10
Abdullahpur,Zillur Rahman Flyover,21
Abdullahpur (Jilkhana),Airport,55
Abdullahpur (Jilkhana),Babu Bazar,22
Abdullahpur (Jilkhana),Badda,42
Abdullahpur (Jilkhana),Bhawar Viti (South Keraniganj),10
Abdullahpur (Jilkhana),Chunakutia Bazar,12
Abdullahpur (Jilkhana),Diayabari,68
Abdullahpur (Jilkhana),Gulistan (Fulbaria),25
Abdullahpur (Jilkhana),Housing Building,55
Abdullahpur (Jilkhana),Kadamtoli,14
Abdullahpur (Jilkhana),Kakrail,28
Abdullahpur (Jilkhana),Khilkhet,53
Abdullahpur (Jilkhana),Kuril Bishwaroad,52
Abdullahpur (Jilkhana),Malibagh,32
Abdullahpur (Jilkhana),Mouchak (Flyover),32
Abdullahpur (Jilkhana),Notun Bazar,45
Abdullahpur (Jilkhana),Palton,26
